dbn,school_name,boro,building_code,shared_space,phone_number,fax_number,school_email,grade_span_min,grade_span_max,expgrade_span_min,expgrade_span_max,year_at_scale,bus,subway,primary_address_line_1,city,state_code,zip,website,total_students,campus_name,school_type,overview_paragraph,program_highlights,language_classes,advancedplacement_courses,diplomaendorsements,extracurricular_activities,psal_sports_boys,psal_sports_girls,psal_sports_coed,school_sports,partner_cbo,partner_hospital,partner_highered,partner_cultural,partner_nonprofit,partner_corporate,partner_financial,partner_other,addtl_info1,addtl_info2,start_time,end_time,se_services,ell_programs,school_accessibility_description,number_programs,priority01,priority02,priority03,priority04,priority05,priority06,priority07,priority08,priority09,priority10
15K497,School for International Studies,Brooklyn,K293,Yes,718-330-9390,718-875-7522,stu.chasabenis@k497.org,6,12,,,,"B45, B57, B61, B62, B63, B65, B67","A, C to Hoyt & Schermerhorn ; F, G to Bergen St",284 BALTIC STREET, BROOKLYN,NY,11201,www.K497.org,466,,,"The School for International Studies is a New York City public school that serves 500 students in grades six to twelve. With the implementation of the International Baccalaureate (IB) philosophy and framework, we aim to support learning for all students that is both engaging and relevant to real life and the global world. We are a community of enthusiastic educators with tight-knit grade level and department teaching teams. Our small class size (usually 22-25 students) helps students master their coursework. They graduate as socially conscious leaders, equipped with the intellectual tools and academic and critical thinking skills necessary to make meaningful change in todayÛªs dynamic, interdependent world. Our full-time college advisor and our guidance counselors assist all students in planning for college and the world of work.","Honors Core Courses, CUNY College Now at City Tech, Senior Internships, National College Advising Corps at NYU, Culinary Arts Program, Visual Arts Program, Drama, Biology, Language & Literature, Language Acquisition, Constitutional Law, Film, SAT Prep for eleventh & twelfth graders, Saturday Scholars Regents Prep, Ninth Grade Interdisciplinary Film History Classes, Ninth Grade Interdisciplinary College Articulation, Career Exploration Classes","Chinese (Mandarin), French, Spanish","Biology, Environmental Science, United States History, World History",,"Cheerleading, Culinary Arts, Drama, Gaming, Visual Arts, Handball, Hip-Hop Dance, Horticulture/Gardening, Instrumental Music, Chess, Ping-Pong, Dance, Photography, Film Appreciation, Literary Magazine, National Honor Society, Newspaper, Open Art Studio, Peer to Peer Tutoring, PrincipalÛªs Book Club, Robotics, Test Prep, Study Hall, Student Council, Yearbook, Fitness","Baseball, Basketball",Volleyball,,"Our school athletes join with students from Brooklyn School for Global Studies to compete in the Public Schools Athletic League (PSAL). We also offer Flag Football, Handball, Soccer, Softball, Track.","International Baccalaureate Candidate School, 21st Century Learning Community: Enhanced and Afterschool Programs, Creative Connections, National College Advising Corps @ New York University, GenerationOn Schools, College Now @ Cuny City Tech, C-CAP (Careers in Culinary Arts Program), South Brooklyn Local Business Development Corp., LEAP: Learning through Enhanced Arts, Noel Pointer Foundation: Violin Program, NYC Chess, Leadership Dance Program, Arab-American Family Support Center, Sports and Arts in School Foundation;",SUNY Downstate Medical Center,"New York City College of Technology, New York University, Columbia University, Brooklyn College","Brooklyn Academy of Music, 92nd St. Y, Global Kids, OST Afterschool Program (homework help, tutoring, regents prep), Noel Pointer Foundation: Violin Program, NYC Chess Program;",Ramapo for Children,,,Young WomenÛªs Leadership Foundation,iLearnNYC: Program for expanded online coursework and self-paced learning,Wireless Internet access schoolwide and laptop computers available for student use; Internship opportunities available through partnership with C-CAP; AM & PM Study Hall and Test Prep available for all students; Newly designed state of the art iMAC Lab available during lunch and afterschool; Ninth Grade overnight retreats (focusing on Experiential Learning); Off-Campus lunch available for students that earn Honor Roll status,8:30 AM,3:15 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,ESL,Not Functionally Accessible,2,Priority to continuing 8th graders,Then to District 15 students or residents,Then to Brooklyn students or residents,Then to New York City residents,,,,,,
15K519,Cobble Hill School of American Studies,Brooklyn,K804,Yes,718-403-9544,718-403-9553,mbruno2@schools.nyc.gov,9,12,,,,"B37, B45, B57, B61, B62, B63, B65, B67","F, G to Bergen St ; 2, 3 to Hoyt St ; A, C to Hoyt & Schermerhorn",347 BALTIC STREET, BROOKLYN,NY,11201,http://schools.nyc.gov/SchoolPortals/15/K519,596,,,"At Cobble Hill, our vision is to know and empower our students as individuals so they will reach their maximum potential, make informed choices, and create meaningful lives. Through our programs and partnerships, students explore career options and areas of interest in a learning community that values achievement in character, culture, and academics.","Gilder Lehrman Affiliate School; Four-year Pre-Law Institute: Family & Civil Law, Constitutional Rights, Financial Literacy, Criminal Law; Moot Court, Mock Trial, International Moot Court Team; Drama, CUNY College Now at City Tech and John Jay, College Writing, Visual Arts sequence, College Summit, Advancement via Individual Determination (AVID) college readiness elective in all grades, Classroom Inc., Castle Learning, SAT Prep, Counseling in Schools Stepping Stones Program, Brooklyn Historical Society after-school program, Art Classes at Cooper Union, CUNY Shakespeare Festival, Poetry elective and Urban Word poetry workshop, Four-year Honors Program for Advanced Students; Four-year sequence in science & math (Physics, Chemistry, Advanced Algebra and Trigonometry & Precalculus); Historical trips (day and overnight) to Gettysburg, Philadelphia, Washington D.C., Camp Becket in the Berkshires, Lancaster PA, Williamsburg Va, Boston, etc.","American Sign Language, Italian, Spanish","English, United States Government and Politics, United States History, World History",,"Tutorials, AVID Tutorials, Cheerleading, Step Team, Chess, Chorus, College Summit Peer Leaders, Crochet, Dance, Drama-Opening Act, Fashion, Fitness, Hispanic Scholarship Fund, Health Occupations Students of America (HOSA), Martial Arts, Knitting, Leadership Council, Literary Magazine, Mock Trial at New York Law School, National Honor Society, Peer Mediation, PM school, Saturday Programs: High School Law Institute at New York University and Columbia University, School Yearbook, Senior Committee, Spoken Word, Û÷The StallionsÛª School Newspaper, Student Court, Video, Yearbook, ExplorerÛªs Club","Baseball, Basketball",Indoor Track,,"Girls Track Club, Cheerleading Team, Step Team, Football Club","National Foundation for Teaching Entrepreneurship (NFTE), Leadership Program, JP Morgan Chase Mentoring program, Deloitte Academy mentoring program, Partnership with Children, Counseling in Schools Stepping Stones Program",,"New York City College of Technology (AP Courses and College Now), Long Island University, Columbia University, New York University","Brooklyn Historical Society, The Digital Project, Rotunda Gallery","Literacy Link Program, Anti-Defamation League (ADL): A World of Difference Institute",,,"Strong partnerships with many organizations and cultural institutions, offering students a variety of school trips to museums, plays and other historical sights in NYC throughout the year.",iLearnNYC: Program for expanded online coursework and self-paced learning,Ninth grade Bridge Program,8:00 AM,3:00 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,ESL,Not Functionally Accessible,2,Priority to Brooklyn students or residents,Then to New York City residents,,,,,,,,
15K592,Khalil Gibran International Academy,Brooklyn,K806,Yes,718-237-2502,718-488-1724,nnicolas@schools.nyc.gov,9,12,,,,"B103, B25, B37, B38, B41, B45, B52, B54, B63, B65, B67","C to Lafayette Ave ; A to Hoyt & Schermerhorn ; 2, 3, 4, 5 to Nevins St ; B, D, N, Q, R to Atlantic Ave - Barclays Center ; G to Fulton St",362 SCHERMERHORN STREET, BROOKLYN,NY,11217,www.khalilgibranhs.com,174,,,"Khalil Gibran International Academy (KGIA) offers students the opportunity to study the Arabic language and explore careers that require bilingual and multicultural skills such as international business, diplomacy, linguistics, journalism and other related fields. In developing these skills, students will be well-prepared for college, careers, and positions as civic leaders in their community. Our students graduate with an understanding of different cultural perspectives, a love of learning, and a desire for excellence. We are committed to providing a challenging education where students can reach their full potential and become impactful leaders in the world.","Internships for eleventh & twelfth graders; College and Career focus groups; CUNY College Now and Baruch College courses; 21st Century Skills and the Paideia Project (Socratic Seminar) used to develop studentsÛª critical thinking skills; Chess, Visual Arts, Dance.",Arabic,,,"Basketball Team, Class Leadership Program, Creative Writing, Hip-Hop Dance, Drama and Theater, Homework Help, Afterschool Subject Tutoring, Science, Movie Club, Music, Playwriting, Student Council and Student Advisory, Regents Preparation, Yearbook, New York Runners, Baruch College, STEP, Saturday Academy",,,,"Basketball, Soccer (SSAL and PAL League), Fitness","International Baccalaureate World Schools, Arab-American Family Support Center, New York Theater Workshop, ENACT Inc, Studio in a School, Brooklyn Academy of Music (BAM); Education4Dance, Veteran Hospital, Move this World.",,,,,,,,,"Uniform Required: White collared polo with school logo, black or khaki pants/skirt for grades 9 and 10. Royal Blue collared polo with school logo, black pants/skirt for grades 11 and 12.; Internship Opportunities",8:00 AM,3:00 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,ESL,Not Functionally Accessible,1,Priority to Brooklyn students or residents who attend an information session,Then to New York City residents who attend an information session,Then to Brooklyn students or residents,Then to New York City residents,,,,,,
15K656,Brooklyn High School of the Arts,Brooklyn,K655,Yes,718-855-2412,718-596-5027,brooklynartshs@gmail.com,9,12,,,,"B103, B25, B37, B38, B41, B45, B52, B63, B65, B67","G to Fulton St ; C to Lafayette Ave ; 2, 3, 4, 5, B, D, N, Q, R to Atlantic Ave - Barclays Center ; A to Hoyt & Schermerhorn",345 DEAN STREET, BROOKLYN,NY,11217,www.brooklynhsarts.org,870,,,"We are dedicated to providing talented Brooklyn students with a strong curriculum in Fine Arts, Drama, Dance, Vocal Music, Band, and Orchestral Music. Along with their major studies, students are prepared for high academic achievement. As an iZone 360 school, students are immersed in technology; we have multiple computer labs and allow students to learn in a way that suits them. Students are provided with daily studio classes in their talent area, designed to prepare them for top fine arts and performing arts colleges and help them develop the discipline to be well-rounded students and future professionals.","Fine Arts: Drawing, Painting, Sculpture, Ceramics, College Portfolio Preparation, Art as elective; Dance: Ballet, Jazz and Modern Technique, Pointe, Dance History, Choreography; Drama: Play Production, Voice, Diction and Movement, Set and Costume Design, Creative Writing; Music: Wind Ensemble (audition), Jazz Band (audition), String Orchestra, Concert Band, Beginning Band, Concert Choir, WomenÛªs Choir, Beginning Choir, Performing Choir (audition), Music as elective, Solo Repertoire Workshop; Academic Programs: Comprehensive Math and Science Program, Advancement via Individual Determination (AVID) Program, Honors Courses, CUNY College Now","Chinese (Mandarin), French, Spanish","English, Human Geography, United States History, World History",,"National Honor Society, Anime, Ceramics, Debate Team, Gallery, Gospel Choir, Lamplighters Theater, Peer Tutoring, Physical Fitness, Poetry, School Leadership Team, Step Team, Student Council, Student Newspaper, Tri-M Music Honor Society, University Partnerships, Yearbook Committee, Cheerleading, Cosmetology",,,,"Social Dance, Weight Training, Yoga","New Tech (iZone 360 School), Exploring The Arts - Tony Bennett Partner School, New York Cares",The Brooklyn Hospital,"Columbia University, New York University, West Point Military Academy, Pratt Institute, Parsons College, The New School, The Cooper Union for the Advancement of Science and Art, Long Island University, Brooklyn College, Hofstra University, Alfred University, Hunter College","The Metropolitan Opera, Groundswell, Brooklyn Academy of Music, Jazz at Lincoln Center, New York State School Music Association (NYSSMA), The National Association for Music Education (MENC), The Academy Program at Carnegie Hall Foundation, Mark Morris Dance Center, Balance Dance Theater, St. Anne's Warehouse, Jazz'd 4 Life, Bang on a Can","The Rudin Foundation, Independence Community Foundation, Peter Jay Sharp Foundation",,Citibank,,iLearnNYC: Program for expanded online coursework and self-paced learning,,8:15 AM,3:21 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,ESL,Functionally Accessible,5,Priority to Brooklyn students or residents,Then to New York City residents,,,,,,,,
15K667,Sunset Park High School,Brooklyn,K564,Yes,718-840-1900,718-840-1925,tnesbit-leslie@sunsetparkhighschool.org,9,12,,,,"B35, B37, B63, B70","D, N, R to 36th St",153 35TH STREET, BROOKLYN,NY,11232,www.sunsetparkhighschool.org,1333,,,"Sunset Park High School is a diverse and inclusive school that prepares all students for post-secondary options and the challenging demands of a changing world. Our school is divided into three small learning communities that use teams of teachers to provide personal attention, including advisory, to each student. Daily instruction builds foundational skills while focusing on the habits of critical thinking necessary for success in college and beyond. Our school is committed to college readiness, parent engagement, and community involvement.","Advisory, Drop Everything and Read, Service Learning, Environmental Science, Forensic Science, Physiology and Pathology, Applied Physics and Chemistry, Visual Art, Music, Dance and Media Studies, American Studies, Contemporary Global Issues, Writing Across the Curriculum; iZone; Blended learning and technology throughout the curriculum; College credit offered on and off site through CUNY College Now at Brooklyn College; Computer Science, Science Research Pathways, Universal Bar Code Project",Spanish,Spanish,,"Art, Clay Workshop, Creative Writing, Dance, Film, Homework Help, Internship Program, Knitting, National Honor Society, Photography, SAT Prep, Student Government, Theater, Tutoring, Vocal Troupe, Yearbook, Woodworking, Opportunity for more student-led clubs","Badminton, Basketball, Soccer","Basketball, Soccer, Softball, Volleyball, Wrestling",,"Baseball, Basketball, Cheerleading, Fitness, Flag Football, Handball, Soccer, Softball, Track, Volleyball, Wrestling","Center for Family Life, Summer Youth Employment, Life Lines Community Arts Project,NYU Partnership School.",Lutheran Medical Center,"Brooklyn College, New York University (NYU), Columbia University Teachers College, Long Island University (LIU), Pace University, St. Francis College, Hunter College","Joyce Theatre, Tribeca Film Festival.",,,,Institute for Student Achievement,"Community School: Offers personalized learning opportunities during and after school, social services, and family engagement programs; iLearnNYC: Program for expanded online coursework and self-paced learning",Internship Opportunities,8:45 AM,3:30 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,ESL,Functionally Accessible,1,Priority to Districts 15 and 20 students or residents who attend an information session,Then to Brooklyn students or residents who attend an information session,Then to New York City residents who attend an information session,Then to Districts 15 and 20 students or residents,Then to Brooklyn students or residents,Then to New York City residents,,,,
15K684,Millennium Brooklyn HS,Brooklyn,K460,Yes,718-832-4333,718-499-2126,lgioe@schools.nyc.gov; lbaumgarten@schools.nyc.gov,9,12,,,,"B103, B61, B63, B67","D, R to 4th Ave - 9th St ; F, G to 7th Ave",237 7 AVENUE, BROOKLYN,NY,11215,www.millenniumbrooklynhs.org,566,,,"The mission of Millennium Brooklyn is to create a rigorous academic program based on literacy infusion, the development of critical thinking skills, and project-based learning. We aim to prepare graduates for a college of choice and post-secondary options, empowering students through the setting and reaching of goals. In addition to a strong course sequence, our school partnerships provide students with additional opportunities for academic challenge. Partners are involved in curriculum development, extended day program, and parent support and outreach. Partnership involvement facilitates a community-centered environment and provides a range of learning experiences.","Advisory, Four-Year Research Curriculum, Executive Functioning, Internship Program, CUNY College Now, College Guidance, School-Wide Office Hours","French, Spanish","English, Environmental Science, Psychology, United States History",,"Advisory, Art, Cooking, Culture, Craft, Creative Writing, Dance, Drama, Feminist, Film, Game, Jewish Culture, Community Service, Peer Leadership, Research Electives, Student Government, Black Student Alliance, Gay Straight Alliance",Basketball,"Basketball, Volleyball",,"Basketball, Ultimate Frisbee, Girls Soccer, Running Club, Swimming, Weight Training, Fencing, Cross Country, Track, Baseball, Volleyball.",,"New York Presbyterian, Methodist Hospital, Wycliffe Hospital",New York University; Hunter College; PACE University; Teachers College; Brooklyn College; St. Johns University,"Museum of National History, BRIC Arts, Sean Casey Animal Shelter, Pencil",Anti-Defamation League,,,"National Consortium for Specialized Secondary Schools of Mathematics, Science, and Technology",,Internship Opportunities,8:00 AM,2:30 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,ESL,Not Functionally Accessible,1,Priority to Brooklyn students or residents,Then to New York City residents,,,,,,,,
16K393,Frederick Douglass Academy IV Secondary School,Brooklyn,K026,Yes,718-574-2820,718-574-2821,ecrespo@schools.nyc.gov,9,12,,,,"B15, B38, B46, B47, B52, B54, Q24","M, Z to Myrtle Ave ; J to Kosciusko St",1014 LAFAYETTE AVENUE, BROOKLYN,NY,11221,http://schools.nyc.gov/SchoolPortals/16/K393,92,,,"The Frederick Douglass Academy IV (FDA IV) Secondary School is a place of scholarship where students are considered scholars. We maintain an atmosphere of order, civility, maturity, and seriousness of purpose upheld by a set of core Twelve Non-Negotiable Rules. Our scholars are instilled with a ScholarÛªs Creed, adapted from the Morehouse College StudentsÛª Creed, that reinforces the schoolÛªs cohesive culture, underscores its high expectations and builds the scholarsÛª sense of pride in their school and themselves.","CUNY College Now with Medgar Evers College, Fresh Prep Core, Science, Technology, Engineering & Mathematics (STEM) Dance4Peace, Acceleration Via Individual Determination (AVID), Technology Education and Literacy in Schools (TEALS), National Academy Foundation (NAF)",French,,,"After-school Programs, Art Studio Group, Book, Cheerleading Team, Chess, Dance, Dance Ensemble, Homework Help, Lunch and Learn, Peer Mediation, Music, PSAT/SAT Prep, Scholars Government Association (SGA), Step, Summer Institute, Achieving Change in our Neighborhood (Teen Action), Violin, String Instruments, CHAMPS, School Leadership Team, Financial Literacy, Yoga, Anti-Bullying, Violence Prevention, Yearbook",,,,Basketball Team,Achieving Change in our Neighborhood (Teen ACTION) St.Nicks Alliance. New York City College of Technology ÛÒ STEM Fresh Prep Technology Education and Literacy in Schools (TEALS)Computer Science Courses Achieving Via Individual Determination (AVID)- Pending Approval National Academy Foundation- NAF- Computer Science Courses- Pending Approval,,Medgar Evers College,Noel Pointer School of Music,"Hip-Hop 4 Life, Urban Arts, and St. Nicks Alliance",,,,,"Dress Code Required: Solid white shirt/blouse, navy blue blazer, gray pants/skirt, navy blue tie/scarf, black dress shoes; Summer Orientation: FDA IV Prep Institute for incoming students (2 days); Extended Day Program; Saturday Program",8:00 AM,2:20 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,ESL,Not Functionally Accessible,1,Priority to Brooklyn students or residents who attend an information session,Then to New York City residents who attend an information session,Then to Brooklyn students or residents,Then to New York City residents,,,,,,
16K455,Boys and Girls High School,Brooklyn,K455,Yes,718-467-1700,718-221-0645,Anothna@schools.nyc.gov,9,12,,,,"B15, B25, B26, B43, B46, B47, B65","A, C to Utica Ave",1700 FULTON STREET, BROOKLYN,NY,11213,http://schools.nyc.gov/SchoolPortals/16/K455,648,,,"We are Û÷The Pride and Joy of Bed-Stuy!Ûª With effective instruction, along with a welcoming learning environment, we are committed to developing young citizens who are prepared socially and academically for the 21st century. We are organized into four Small Learning Communities ÛÒ Law, Business & Technology, Entertainment Arts, and Freshman Prep. Our Small Learning Communities are aligned with our belief that children enjoy learning with curricula that are relevant, differentiated and speak directly to their interests. A CARE Center was created to provide wrap-around services to meet our studentsÛª needs. Students are also provided with CTE opportunities.","Smart Scholars Program through Long Island University, CUNY College Now, Work-study Internships, Naviance (college search and tracking system to research and apply online to college), Music Production, Art, Dance, Instrumental Music, Vocal Music, iCourse (online credit recovery program)","French, Spanish",,,"Cheerleading, Chess, Committee for Girls, Dance Team, Debate Team, Drama, Drumline, Fashion Design, Graphic Design, Jazz Band, Jewelry-making, Library Squad, Math Team, National Honor Society, Poetry Slam, Red Berets, Robotics, Sophisticated Gents, Sound and Video Production, Speech and Debate, Student Government, Talent Show, Team-Pro, The Crown Jewel Steppers, Travel, Video Filmmaking, Voices of the High Choir, Yearbook, Young PeopleÛªs Project","Baseball, Basketball, Cross Country, Football, Handball, Indoor Track, Outdoor Track, Soccer, Tennis, Volleyball","Basketball, Cross Country, Flag Football, Handball, Indoor Track, Outdoor Track, Soccer, Tennis, Volleyball",,,"Community Mediation Services, Bedford Stuyvesant Restoration, 500 Men Making a Difference, Good Shepherd, Brooklyn Steppers, Shawn Carter Foundation, Adelaide Sanford Institute",New York City Department of Health & Mental Hygiene,"Long Island University (LIU), City University of New York (CUNY), Medgar Evers College, New York City College of Technology, Polytechnic Institute of New York University (NYU), State University of New York (SUNY)",,"The Links, Inc.",,,"Boys High Alumni Association, Girls High Alumni Association","Community School: Offers personalized learning opportunities during and after school, social services, and family engagement programs; iLearnNYC: Program for expanded online coursework and self-paced learning",Dress Code Required: students are required to dress in an appropriate manner; Community Service Requirement; Summer Orientation; Internship Opportunities,8:15 AM,3:15 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,ESL,Functionally Accessible,4,Open only to Brooklyn students or residents,For Zoned Program only: Guaranteed offer to students who apply and live in the zoned area,,,,,,,,
16K498,Brooklyn High School for Law and Technology,Brooklyn,K987,No,718-919-1256,718-852-4593,MPRAYOR@SCHOOLS.NYC.GOV,9,12,,,,"B20, B26, B38, B46, B47, B52, B7, Q24","J, Z to Gates Ave",1396 BROADWAY, BROOKLYN,NY,11221,www.bklawtech.com,596,,,"The mission of Brooklyn High School for Law and Technology is to intellectually prepare, morally inspire, and socially motivate every student to become a leader in this vastly changing society. Our curriculum in Bio-medical Science, Engineering, Software Engineering, and Law are blueprints for all students to succeed in any competitive college program. At Brooklyn High School for Law and Technology, the overall goal is to cultivate exceptional leaders prepared to serve and lead globally.","Access to Law and Technology Programs: Youth Court, ESI, Civil Rights and Patent Law; Technology Program provides experiences in Web Design, Computer Programming, iCareers, Online Courses; Volunteers mentor our scholars through Community Service Internships; Multicultural Literature, Conflict Resolution/Peer Mediation, Debate Team, College and Career Awareness, In-House Television/Music/Production Studio, College Now, Calculus",Spanish,"English, Spanish",,"Expanded Success Initiative (ESI), After-School Program, After-School Tutorials, STEM/Robotics, Chess, College and Career Fairs/Tours, Computer, Culinary Institute, Creative Writing, Dance, Debate Team, DJ, Û÷Give, Receive, Assistance, Confidence, and ExcellenceÛª (GRACE) Program, Green House, Homework Help, Math, Music, Music Production, Saturday Academy, School Newspaper, School Website Management, Science, Step, Student Government, Teacher Assistants (TAs), Television, Test Preparation, Tutoring, TV/Video Production, Video Game, Yearbook, YLGC - Employment (working in the school), Youth Court","Basketball, Outdoor Track","Basketball, Indoor Track, Softball, Volleyball",,"Boys: Baseball, Intramural Basketball, Fitness Center, Flag Football, Soccer, Softball, Track, Volleyball; Girls: Intramural Basketball, Dance/Cheerleading, Double Dutch, Fitness Center, Karate, Softball, Step Team, Track","New York Urban League, Center for Court Innovation",,"Brooklyn College, Medgar Evers College, Polytechnic Institute of New York University","Brooklyn Academy of Music (BAM), Museum of Contemporary African Diasporan Arts (MoCADA), Brooklyn Museum","Barclay's Center, YMCA, NY State Dairy Association, New York Jets",N/A,,,iLearnNYC: Program for expanded online coursework and self-paced learning,All incoming 9th graders attend our Young Scholars College Prep Program; Internship Opportunities; Community Service Opportunities,8:00 AM,3:00 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,ESL,Functionally Accessible,2,Open to New York City residents,,,,,,,,,
16K594,Gotham Professional Arts Academy,Brooklyn,K040,Yes,718-455-0746,718-574-3971,N/A,9,12,,,,"B25, B26, B46, B47, B65, B7",C to Ralph Ave ; J to Halsey St ; A to Utica Ave,265 RALPH AVENUE, BROOKLYN,NY,11233,http://schools.nyc.gov/SchoolPortals/16/K594,226,,Performance Assessment School,"Gotham Professional Arts Academy is a small high school focused on the arts and arts-related professions. Students collaborate on creative projects like performances, art exhibits, poetry slams, and publications. Each semester begins with an interdisciplinary inquiry project. Gotham Professional Arts Academy uses the city as its classroom, taking frequent field work trips to museums, cultural and community-based organizations, and workplaces. The advisory system ensures that all students receive personalized support and academic guidance. Internships in the arts industries such as Music, Fashion, Design, and Performing Arts offer real-world experience and contacts. Graduation is based on an academic portfolio of student work, the creation of which helps our students succeed in their future endeavors.",Emphasis on arts and arts-related careers throughout the curriculum; Classes designed around student discussion; Advisory program; Annual college and career fairs to expose students to post-graduate options; Weekly class trips to arts organizations and industries expose students to New York City's cultural resources,Spanish,,,"Anime Club, BaileyÛªs Cafe, Student Government, Open Art Studio, Dance, Portfolio Workshop; Tutoring services provided as needed, before, after school and on Saturdays",,,,,"Coalition of Essential Schools, Coro Exploring Leadership Program",,,"Council of Fashion Designers of America, Whitney Museum of American Art, Fashion Institute of Technology, Bailey's Cafe, Reel Works.",,,,,,Extended Day Program; Internship Requirement; Academic Portfolio required for graduation.,8:45 AM,3:15 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,ESL,Not Functionally Accessible,1,Priority to New York City residents who attend an information session,Then to New York City residents,,,,,,,,
16K688,The Brooklyn Academy of Global Finance,Brooklyn,K057,Yes,718-574-3126,718-574-3681,info@bkagf.org,9,12,,,,"B15, B38, B43, B46, B47, B52, B54, Q24","J to Kosciusko St ; M, Z to Myrtle Ave",125 STUYVESANT AVENUE, BROOKLYN,NY,11221,www.bkagf.org,152,,,"The mission of The Brooklyn Academy of Global Finance (BAGF) is to prepare students for post-secondary education and to compete in the global economy through academic rigor, financial literacy, awareness of global economic and cultural diversity, and exposure to and experience in the corporate world. Students gain knowledge of the financial industry through field trips, job shadowing and internships. BAGF provides an academically challenging environment in which students experience real-world applications of their learning through internships and interactions with partners in business and financial services industries.","National Academy of Finance (NAF) provides an industry-approved curriculum and includes job-shadowing, guest speakers, internships, and career planning; Deloitte Consulting provides a Career-Readiness Program for our Ninth Grade Class; Label X Educational Initiative led by music industry professionals introduces students to various aspects of and roles within the music industry and helps them create a viral marketing plan, a professionally mixed song, and a professionally edited music video",Spanish,,,"Art, Career Exploring, Chess, Debate Team, Euro Challenge, Federal Reserve Challenge, Homework Center, Journalism, Lunch and Learn, Model UN, Stock Market Game, Student Government, Toastmasters",Basketball,,,Team First Basketball Program,National Academy Foundation (NAF),,"Medgar Evers College Now, Kingsborough Community College, Long Island University",LABEL X Virtual Enterprise Platform,,,Deloitte Consulting,"Brooklyn Borough PresidentÛªs Office, Team First Basketball Program",,Internship Opportunities,8:15 AM,3:12 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,ESL,Not Functionally Accessible,1,Priority to New York City residents who attend an information session,Then to New York City residents,,,,,,,,
16K765,Nelson Mandela High School,Brooklyn,K455,Yes,718-804-6805,718-804-6808,mandelaschoolforsocialjustice@gmail.com,9,11,9,12,2017,"B15, B25, B26, B43, B46, B47, B65","A, C to Utica Ave",1700 FULTON STREET, BROOKLYN,NY,11213,www.mandelaschoolnyc.org,124,,,"The mission of the Nelson Mandela School for Social Justice is to create life-long, socially conscious leaders who use education as a powerful tool to change the world. All work within our community is guided by our core values: service, perseverance, leadership, respect, and reflection. We explore social justice themes through a challenging and engaging academic curriculum as students develop critical thinking, analytic, and problem solving skills. Service learning, collaborative projects, travel abroad, and internships will prepare our students for the demands of college and careers, and define their purpose and responsibility as global citizens.",Culturally relevant practices; Blended instruction with both teacher-led classes and use of digital resources; Real-world problem-based learning; Student choice on elective courses; CORE advisory program focused on personal and social development; Mentoring; Rites of passage experiences; College and career counseling starting in ninth grade; Internships; College-level courses in upper grades,,,,"Proposed extracurricular activities include: Social Justice, Dance, Debate Team, Drama, Internship and Service Learning Opportunities, Literary Journal, Open Mics, Photography/Film, Poetry Slams, Peer Mediation, Readings, School Newspaper, Student Council, Digital Media","Baseball, Basketball, Cross Country, Football, Handball, Indoor Track, Outdoor Track, Soccer, Tennis, Volleyball","Basketball, Cross Country, Flag Football, Handball, Indoor Track, Outdoor Track, Soccer, Tennis, Volleyball",,,,,,,,,,,,Internship Opportunities; Community Service Opportunities,9:00 AM,4:00 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,ESL,Functionally Accessible,1,Priority to New York City residents who attend an information session,Then to New York City residents,,,,,,,,
